key	español	english	missing_in
Información	Información	Information	nah
Inicia sesión para acceder	Log in to access	Log in to access	tzo+nah
Inicia sesión para continuar	Log in to continue	Log in to continue	tzo+nah
Iniciar sesión	Log in	Log in	tzo+nah
Ir a Configuración	Go to Settings	Go to Settings	tzo+nah
Las notas se han guardado correctamente.	Las notas se han guardado correctamente.	Notes saved successfully.	nah
Latitude (optional)	Latitud (opcional)	Latitude (optional)	tzo+nah
Lecciones	Lessons	Lessons	tzo+nah
Legal	Legal	Legal	nah
Limpiar	Clear	Clear	tzo+nah
Listo	Done	Done	tzo+nah
Lo que pasa en tu cafetal, contado por ti. Aquí guardas observaciones, acciones y aprendizajes.	What happens in your coffee field, told by you. Here you keep observations, actions and lessons learned.	What happens in your coffee field, told by you. Here you keep observations, actions and lessons learned.	tzo+nah
Longitude (optional)	Longitud (opcional)	Longitude (optional)	tzo+nah
Lotes	Plots	Plots	tzo+nah
Mail	Mail	Email	nah
Masculino	Masculino	Male	nah
Mi Camino	Mi Camino	My Progress	nah
Mi camino	My path	My path	tzo+nah
Mostrar edad	Show age	Show age	tzo+nah
Mostrar estado	Show state	Show state	tzo+nah
Mostrar fecha de nacimiento	Show date of birth	Show date of birth	tzo+nah
Mostrar género	Show gender	Show gender	tzo+nah
Mostrar país	Show country	Show country	tzo+nah
My Plots	Mis Plantíos	My Plots	tzo+nah
Name	Nombre	Name	tzo+nah
New Plot	Nuevo Plantío	New Plot	tzo+nah
No estás solo en tu cafetal	You are not alone in your coffee field	You are not alone in your coffee field	tzo+nah
No hay alguien disponible con ese idioma en este momento. Quita el filtro o intenta más tarde.	There is no one available in that language right now. Remove the filter or try later.	There is no one available in that language right now. Remove the filter or try later.	tzo+nah
No hay capturas todavía	No captures yet	No captures yet	tzo+nah
No hay resultados.	No results.	No results.	tzo+nah
No se detectó una hoja de café	No coffee leaf detected	No coffee leaf detected	tzo+nah
No te reemplazamos	We don't replace you	We don't replace you	tzo+nah
No tienes peticiones	You have no requests	You have no requests	tzo+nah
Nombre	Name	Name	tzo+nah
Nombre de la lista	List name	List name	tzo+nah
Nombre del plantío	Plot name	Plot name	tzo+nah
Nombres	Nombres	First name(s)	nah
Nombres y apellidos	First and last name	First and last name	tzo+nah
Notas	Notas	Notes	nah
Notas guardadas	Notes saved	Notes saved	tzo+nah
Nueva contraseña	New password	New password	tzo+nah
Nueva entrada	New entry	New entry	tzo+nah
OK	OK	OK	tzo+nah
Otro	Otro	Other	nah
Para usar Detecta, permite el acceso a la cámara en Configuración.	To use Detect, allow camera access in Settings.	To use Detect, allow camera access in Settings.	tzo+nah
País	País	Country	nah
Pedir ayuda	Ask for help	Ask for help	tzo+nah
Pendiente de subir	Pending upload	Pending upload	tzo+nah
Pensando…	Thinking…	Thinking…	tzo+nah
Personas que pueden acompañarte	People who can support you	People who can support you	tzo+nah
Plantío	Plot	Plot	tzo+nah
Política de privacidad y términos	Política de privacidad y términos	Privacy policy & terms	nah
Pregunta lo que necesites	Pregunta lo que necesites	Ask anything	nah
Preguntar al asistente	Ask the assistant	Ask the assistant	tzo+nah
Pregúntame sobre tu cafetal	Ask me about your coffee field	Ask me about your coffee field	tzo+nah
Prácticas que has aplicado	Practices you have applied	Practices you have applied	tzo+nah
Prácticas, conocimiento y conversaciones de otros caficultores. A tu ritmo, sin prisa.	Practices, knowledge and conversations from other coffee growers. At your own pace, no rush.	Practices, knowledge and conversations from other coffee growers. At your own pace, no rush.	tzo+nah
Próximos 3 días	Next 3 days	Next 3 days	tzo+nah
Quitar	Remove	Remove	tzo+nah
Quitar asignación	Remove assignment	Remove assignment	tzo+nah
Quitar de Favoritos	Quitar de Favoritos	Remove from Favorites	nah
Quitar de firma	Remove from roster	Remove from roster	tzo+nah
Rechazar	Reject	Reject	tzo+nah
Recomendaciones	Recomendaciones	Recommendations	nah
Recuperar contraseña	Recover password	Recover password	tzo+nah
Region (optional)	Región (opcional)	Region (optional)	tzo+nah
Regístrate con tus datos	Sign up with your details	Sign up with your details	tzo+nah
Reintentar	Retry	Retry	tzo+nah
Rutas de aprendizaje	Learning paths	Learning paths	tzo+nah
Rutas de capacitación	Rutas de capacitación	Training routes	nah
Save	Guardar	Save	tzo+nah
Seleccionar	Select	Select	tzo+nah
Si escribes, se guardará en tu bitácora.	If you write, it will be saved to your journal.	If you write, it will be saved to your journal.	tzo+nah
Siguiente	Next	Next	tzo+nah
Siguiente lección	Next lesson	Next lesson	tzo+nah
Sin entradas en este filtro	No entries in this filter	No entries in this filter	tzo+nah
Solicitud de técnico	Technician request	Technician request	tzo+nah
Sí, eliminar mi cuenta	Yes, delete my account	Yes, delete my account	tzo+nah
Teléfono (10 dígitos)	Phone (10 digits)	Phone (10 digits)	tzo+nah
Terminar lección	Finish lesson	Finish lesson	tzo+nah
Terminaste la lección	You finished the lesson	You finished the lesson	tzo+nah
Tipo	Type	Type	tzo+nah
Tipo de entrada	Entry type	Entry type	tzo+nah
Toca el mapa para colocar el pin	Tap the map to place the pin	Tap the map to place the pin	tzo+nah
Toca para agregar notas sobre esta captura...	Toca para agregar notas sobre esta captura...	Tap to add notes about this capture...	nah
Todos	All	All	tzo+nah
Tomar foto	Take photo	Take photo	tzo+nah
Tu bitácora está vacía	Your journal is empty	Your journal is empty	tzo+nah
Tu camino	Your path	Your path	tzo+nah
Tu cuaderno de campo	Tu cuaderno de campo	Your field notebook	nah
Tu progreso	Tu progreso	Your progress	nah
Tu teléfono es tu identificador de acceso y no puede cambiarse aquí.	Your phone is your login identifier and cannot be changed here.	Your phone is your login identifier and cannot be changed here.	tzo+nah
Tus fotos	Your photos	Your photos	tzo+nah
Tus rutas	Your paths	Your paths	tzo+nah
Tzotzil — traducción comunitaria	Tzotzil — traducción comunitaria	Tzotzil — community translation	nah
Título	Title	Title	tzo+nah
URGENTE	URGENTE	URGENT	nah
Una herramienta hecha para acompañarte en tu cafetal.	A tool made to support you in your coffee field.	A tool made to support you in your coffee field.	tzo+nah
Unir	Join	Join	tzo+nah
Ver biblioteca	View library	View library	tzo+nah
Ver en mapa	View on map	View on map	tzo+nah
Verificación de identidad	Identity verification	Identity verification	tzo+nah
Volver	Back	Back	tzo+nah
Volver a capturar	Capture again	Capture again	tzo+nah
Zona de peligro	Zona de peligro	Danger zone	nah
o	or	or	tzo+nah
¡Bienvenido a la comunidad Káapeh!	Welcome to the Káapeh community!	Welcome to the Káapeh community!	tzo+nah
¿Aceptar solicitud?	Accept request?	Accept request?	tzo+nah
¿Estás seguro?	Are you sure?	Are you sure?	tzo+nah
¿No tienes cuenta?	Don't have an account?	Don't have an account?	tzo+nah
¿Olvidaste tu contraseña?	Forgot your password?	Forgot your password?	tzo+nah
¿Rechazar solicitud?	Reject request?	Reject request?	tzo+nah
📝 Notas de campo	📝 Field notes	📝 Field notes	tzo+nah
